Genus[7][8][9][b],Meaning or derivation,Family[4],Order[4],C,G
Vincetoxicum,Latin: conquering poison,Apocynaceae,Gentianales,,G
Viola,Latin name[4],Violaceae,Malpighiales,C,G
Viscum,Latin name,Santalaceae,Santalales,,G
Vitex,Latin name,Lamiaceae,Lamiales,C,G
Vitis,Latin name[4],Vitaceae,Vitales,C,G
Xanther­anthemum,yellow Eranthemum,Acanthaceae,Lamiales,,G
Xanthisma,yellow (flowers),Asteraceae,Asterales,C,G
Xanthoceras,yellow horn (the glands between the petals),Sapindaceae,Sapindales,C,G
Xanthorhiza,yellow root,Ranunculaceae,Ranunculales,C,G
Xanthorrhoea,yellow sap,Asphodelaceae,Asparagales,,G
Xanthosoma,yellow body,Araceae,Alismatales,,G
Xeranthemum,(long-lasting) dry flowers,Asteraceae,Asterales,,G
Xerophyllum,dry leaves,Melanthiaceae,Liliales,C,G
Xylobium,wood-life (epiphytes),Orchidaceae,Asparagales,,G
Yucca,Caribbean name,Asparagaceae,Asparagales,C,G
Yushania,Yu Shan,Poaceae,Poales,C,
Zamia,from a Latin name[4],Zamiaceae,Cycadales,C,G
Zanthoxylum,yellow wood,Rutaceae,Sapindales,,G
Zea,Greek and Latin name,Poaceae,Poales,C,G
Zelkova,from a Georgian name,Ulmaceae,Rosales,C,G
Zephyranthes,western flower,Amaryllidaceae,Asparagales,C,G
Zigadenus,yoked glands (in pairs),Melanthiaceae,Liliales,,G
Zingiber,"Greek and Latin name, from a Sanskrit name[4]",Zingiberaceae,Zingiberales,,G
Zizania,Greek and Latin name,Poaceae,Poales,,G
Ziziphus,"Greek and Latin name, from a Persian name",Rhamnaceae,Rosales,,G
Zygopetalum,yoked petals,Orchidaceae,Asparagales,,G
