Genus[7][8][b],Meaning or derivation,Family[4],Order[4],C,G
Asyneuma,not joined (the corolla lobes),Campanulaceae,Asterales,,G
Atalantia,Atalanta,Rutaceae,Sapindales,,G
Athamanta,probably Athamas,Apiaceae,Apiales,,G
Atherosperma,"awned seeds, or a reference to the fruit[4]",Athero­spermataceae,Laurales,,G
Atriplex,Latin name,Amaranthaceae,Caryophyllales,C,G
Atropa,Atropos,Solanaceae,Solanales,C,G
Attalea,unclear,Arecaceae,Arecales,,
Aucuba,Japanese name,Garryaceae,Garryales,C,G
Aurinia,Latin: golden (flowers),Brassicaceae,Brassicales,C,G
Avena,Latin name,Poaceae,Poales,C,G
Azolla,dry-killing (drought kills them),Salviniaceae,Salviniales,C,G
Babiana,from Afrikaans,Iridaceae,Asparagales,C,G
Baccharis,Bacchus,Asteraceae,Asterales,C,G
Bacopa,South American name,Plantaginaceae,Lamiales,,G
Bactris,walking stick,Arecaceae,Arecales,,G
Balaka,Fijian name,Arecaceae,Arecales,,
Ballota,Greek name,Lamiaceae,Lamiales,C,G
Bambusa,Malayan name,Poaceae,Poales,,G
Baphia,dye,Fabaceae,Fabales,,G
Baptisia,(indigo) dyeing,Fabaceae,Fabales,C,G
Basella,Malabar name[4],Basellaceae,Caryophyllales,,G
Bellis,Latin: attractive,Asteraceae,Asterales,C,G
Bellium,like Bellis,Asteraceae,Asterales,,G
Berberidopsis,like Berberis[4],Berberidop­sidaceae,Berberidopsidales,C,G
Berberis,Arabic name[4],Berberidaceae,Ranunculales,C,G
Beta,Latin name,Amaranthaceae,Caryophyllales,C,G
Betonica,from the name of a Spanish plant,Lamiaceae,Lamiales,,G
Betula,Latin name[4],Betulaceae,Fagales,C,G
Bidens,Latin: two teeth (on the dried fruit),Asteraceae,Asterales,C,G
Bifrenaria,double bridle (the pollinia stalks),Orchidaceae,Asparagales,,
Biscutella,Latin: two dishes (the shape of the fruits),Brassicaceae,Brassicales,,G
Bistorta,Medieval Latin name,Polygonaceae,Caryophyllales,,G
Bixa,Carib name[4],Bixaceae,Malvales,,G
Blyxa,"gushing (the habitat), possibly",Hydrocharitaceae,Alismatales,,
Bombax,silk (the seed capsules' stuffing),Malvaceae,Malvales,,G
Borago,"Latin: hairy clothes, possibly (the leaves)[4]",Boraginaceae,Boraginales,C,G
Borassus,spadix of the date palm,Arecaceae,Arecales,,G
Brabejum,sceptre or prize,Proteaceae,Proteales,,
Brachychiton,short coat (including the scales),Malvaceae,Malvales,,G
Brachyscome,short lock of hair (the pappuses). Previously Brachycome.,Asteraceae,Asterales,C,G
Brassica,Latin name[4],Brassicaceae,Brassicales,C,G
Briza,Greek name,Poaceae,Poales,C,G
Bromus,Greek name,Poaceae,Poales,C,G
Brosimum,edible,Moraceae,Rosales,,G
Bryonia,Greek name,Cucurbitaceae,Cucurbitales,,G
Bulbine,Greek name,Asphodelaceae,Asparagales,C,G
Bulbinella,little Bulbine,Asphodelaceae,Asparagales,C,G
Bulbophyllum,bulb leaves,Orchidaceae,Asparagales,,G
Bunium,Greek name,Apiaceae,Apiales,,G
Buphthalmum,ox eye,Asteraceae,Asterales,C,G
Bupleurum,ox rib. Greek name.,Apiaceae,Apiales,C,G
Bursaria,purse (the fruits),Pittosporaceae,Apiales,,G
Butia,Brazilian name,Arecaceae,Arecales,,G
Butomus,ox-cutting (the inedible leaves harm cattle)[4],Butomaceae,Alismatales,C,G
Buxus,Greek and Latin name[4],Buxaceae,Buxales,C,G
Cabomba,Guianese name[4],Cabombaceae,Nymphaeales,,G
Caiophora,(hairs) causing a burn,Loasaceae,Cornales,,G
Cajanus,Malay name,Fabaceae,Fabales,,G
Caladium,Malay name,Araceae,Alismatales,C,G
Calamus,Greek name,Arecaceae,Arecales,,G
Calanthe,attractive flowers,Orchidaceae,Asparagales,C,G
Calathea,basket (the bracts),Marantaceae,Zingiberales,C,G
Calceolaria,slipper (the flowers),Calceolariaceae,Lamiales,C,G
Calendula,first day of the month,Asteraceae,Asterales,C,G
Calla,attractive,Araceae,Alismatales,C,G
