,Genus,Meaning or derivation,Family,Order,C,G
1075,Menyanthes,small flowers[4] or moon flowers,Menyanthaceae,Asterales,C,G
1076,Mercurialis,Mercury,Euphorbiaceae,Malpighiales,,G
1077,Meryta,bunching (the male flower heads),Araliaceae,Apiales,,G
1078,Mesembry­anthemum,middle embryo flower (the ovaries),Aizoaceae,Caryophyllales,,G
1079,Metrosideros,core of iron,Myrtaceae,Myrtales,,G
1080,Meum,Greek and Latin name,Apiaceae,Apiales,C,G
1081,Micranthemum,small flowers,Linderniaceae,Lamiales,,
1082,Microglossa,small tongue (the ray florets),Asteraceae,Asterales,,G
1083,Mimosa,mimic (the leaves),Fabaceae,Fabales,C,G
1084,Mimulus,Latin: little mimic (the flowers),Phrymaceae,Lamiales,C,G
1085,Mimusops,monkey-face,Sapotaceae,Ericales,,G
1086,Mirabilis,Latin: wonderful,Nyctaginaceae,Caryophyllales,C,G
1087,Miscanthus,stalk-flower (the small flower spikes),Poaceae,Poales,C,G
1088,Mitella,small caps (the fruit),Saxifragaceae,Saxifragales,C,G
1089,Mitraria,cap or turban (the fruit or inflorescences),Gesneriaceae,Lamiales,C,G
1090,Molopo­spermum,striped seeds,Apiaceae,Apiales,,G
1091,Moluccella,Molucca (unknown connection),Lamiaceae,Lamiales,C,G
1092,Momordica,Latin: bitten (appearance of the seeds),Cucurbitaceae,Cucurbitales,,G
1093,Monanthes,single-flowered (the type specimen),Crassulaceae,Saxifragales,,
1094,Moneses,single (flowered),Ericaceae,Ericales,,G
1095,Monstera,Latin: monstrous (the leaves),Araceae,Alismatales,C,G
1096,Morinda,Latin name + indicus (Indian),Rubiaceae,Gentianales,,G
1097,Moringa,Latinised Tamil name[4],Moringaceae,Brassicales,,G
1098,Mormodes,hobgoblin (the odd flowers),Orchidaceae,Asparagales,,G
1099,Morus,Greek and Latin name,Moraceae,Rosales,C,G
1100,Moscharia,musk,Asteraceae,Asterales,,
1101,Mucuna,Brazilian name,Fabaceae,Fabales,,G
1102,Mulgedium,Latin: milking (from the sap),Asteraceae,Asterales,,G
1103,Musa,Latinised Arabic name[4],Musaceae,Zingiberales,,G
1104,Muscari,Turkish name,Asparagaceae,Asparagales,C,G
1105,Mussaenda,Latinised Sinhalese name,Rubiaceae,Gentianales,,G
1106,Myoporum,closed pore (spots on the leaves),Scrophulariaceae,Lamiales,,G
1107,Myosotidium,derived from Myosotis,Boraginaceae,Boraginales,C,G
1108,Myosotis,mouse ear (the leaves),Boraginaceae,Boraginales,C,G
1109,Myosurus,mouse tail (the flower stalks),Ranunculaceae,Ranunculales,,G
1110,Myrica,Greek and Latin name[4],Myricaceae,Fagales,C,G
1111,Myricaria,like Myrica,Tamaricaceae,Caryophyllales,,G
1112,Myriocephalus,myriad heads (from the compound flower heads),Asteraceae,Asterales,,
1113,Myriophyllum,myriad leaves,Haloragaceae,Saxifragales,C,G
1114,Myristica,fragrant oil or ointment[4],Myristicaceae,Magnoliales,,G
1115,Myroxylon,fragrant-oil wood,Fabaceae,Fabales,,
1116,Myrrhis,Greek name,Apiaceae,Apiales,C,G
1117,Myrsine,Greek name,Primulaceae,Ericales,,G
1118,Myrtillocactus,myrtle cactus (for the myrtle-like fruit),Cactaceae,Caryophyllales,,
1119,Myrtus,Greek and Latin name,Myrtaceae,Myrtales,C,G
1120,Mystacidium,mustache (the fringes),Orchidaceae,Asparagales,,G
1121,Najas,Naiad,Hydrocharitaceae,Alismatales,,G
1122,Nandina,Japanese name,Berberidaceae,Ranunculales,C,G
1123,Nannorrhops,dwarf bush,Arecaceae,Arecales,,G
1124,Narcissus,Narcissus,Amaryllidaceae,Asparagales,C,G
1125,Narthecium,Greek name[4],Nartheciaceae,Dioscoreales,,G
1126,Nauclea,"probably ""ship"", in part",Rubiaceae,Gentianales,,G
1127,Nautilocalyx,possibly nautilus-calyx,Gesneriaceae,Lamiales,,
1128,Nelumbo,Sinhalese name[4],Nelumbonaceae,Proteales,,G
1129,Nemastylis,thread column (the styles),Iridaceae,Asparagales,,G
1130,Nematanthus,thread flower (the flower stalks),Restionaceae,Poales,,G
1131,Nemesia,Greek name,Scrophulariaceae,Lamiales,C,G
1132,Nemophila,clearing-loving,Hydrophyllaceae,Boraginales,C,G
1133,Nepenthes,antidepressant[4],Nepenthaceae,Caryophyllales,,G
1134,Nepeta,Latin name,Lamiaceae,Lamiales,C,G
1135,Nephthytis,Nephthys,Araceae,Alismatales,,G
1136,Neptunia,Neptune (for its habitat),Fabaceae,Fabales,,G
1137,Nerine,a sea nymph,Amaryllidaceae,Asparagales,C,G
1138,Nerium,Greek and Latin name,Apocynaceae,Gentianales,C,G
1139,Nertera,low (to the ground),Rubiaceae,Gentianales,C,G
1140,Nidularium,Latin: little nest,Bromeliaceae,Poales,,G
1141,Nigella,Latin name,Ranunculaceae,Ranunculales,C,G
1142,Niphaea,snowy (the flowers),Gesneriaceae,Lamiales,,G
1143,Nolana,Latin: small bell (the flowers),Solanaceae,Solanales,,G
1144,Nothofagus,false Fagus[4],Nothofagaceae,Fagales,C,G
1145,Notholirion,false lily,Liliaceae,Liliales,,G
1146,Nothoscordum,false garlic,Liliaceae,Liliales,,G
1147,Notylia,back-bumps (on the stigmas),Orchidaceae,Asparagales,,
1148,Nuphar,Arabic or Persian name,Nymphaeaceae,Nymphaeales,,G
1149,Nyctanthes,night-flowering,Oleaceae,Lamiales,,G
1150,Nymphaea,water nymph. Latin name.[4][8],Nymphaeaceae,Nymphaeales,C,G
1151,Nymphoides,Nymphaea-like,Menyanthaceae,Asterales,,G
1152,Nyssa,"Nysa, a water nymph[4]",Nyssaceae,Cornales,C,G
1153,Ochna,Greek name[4],Ochnaceae,Malpighiales,,G
1154,Ocimum,Greek and Latin name,Frankeniaceae,Caryophyllales,C,G
1155,Ocotea,French Guyanese name,Lauraceae,Laurales,,
1156,Octomeria,eight-part (the pollinia),Orchidaceae,Asparagales,,
1157,Odontadenia,tooth gland (the pistils),Apocynaceae,Gentianales,,
1158,Oenanthe,Greek name,Apiaceae,Apiales,,G
1159,Oenocarpus,wine fruit,Arecaceae,Arecales,,G
1160,Oenothera,Greek and Latin name,Onagraceae,Myrtales,C,G
1161,Olea,Latin name[4],Oleaceae,Lamiales,C,G
1162,Omphalodes,navel-like (the seeds),Boraginaceae,Boraginales,C,G
1163,Omphalo­gramma,navel-marked (the seeds),Primulaceae,Ericales,,G
1164,Oncidium,little swelling (on the lips),Orchidaceae,Asparagales,,G
1165,Oncoba,Arabic name,Salicaceae,Malpighiales,,G
1166,Onobrychis,uncertain,Fabaceae,Fabales,,G
1167,Ononis,Greek and Latin name,Fabaceae,Fabales,,G
1168,Onopordum,Greek and Latin name,Asteraceae,Asterales,C,G
1169,Onosma,Greek and Latin name,Boraginaceae,Boraginales,,G
1170,Ophiopogon,Greek for a Japanese name,Asparagaceae,Asparagales,C,G
1171,Ophrys,Greek and Latin name,Orchidaceae,Asparagales,,G
1172,Oplismenus,weapons (the appearance of the spikelets),Poaceae,Poales,,G
1173,Oplopanax,armed Panax (the spines),Araliaceae,Apiales,,G
1174,Opopanax,sap panacea,Apiaceae,Apiales,,G
1175,Opuntia,"Opus, Greece. Latin name.",Cactaceae,Caryophyllales,C,G
1176,Orbea,Latin: discs,Apocynaceae,Gentianales,,
1177,Orchis,testicle (the root tubers)[4],Orchidaceae,Asparagales,,G
1178,Oreopanax,mountain Panax,Araliaceae,Apiales,,G
1179,Origanum,Greek and Latin name,Lamiaceae,Lamiales,C,G
1180,Orixa,from a Japanese name,Rutaceae,Sapindales,,G
1181,Ormosia,necklace (one use of the seeds),Fabaceae,Fabales,,G
1182,Ornithogalum,bird's milk (the flowers or bulbs),Asparagaceae,Asparagales,C,G
1183,Orobanche,Greek and Latin name[4],Orobanchaceae,Lamiales,,G
1184,Orontium,Greek name,Araceae,Alismatales,C,G
1185,Oroxylum,mountain wood (one of its habitats). Previously Oroxylon.,Bignoniaceae,Lamiales,,
1186,Orthocarpus,upright fruit,Orobanchaceae,Lamiales,,G
1187,Orthrosanthus,morning flowers,Iridaceae,Asparagales,,G
1188,Orycho­phragmus,dug-up partition (the pitted septa),Brassicaceae,Brassicales,,
1189,Oryza,Latin and Greek name,Poaceae,Poales,,G
1190,Osmanthus,scented flowers,Oleaceae,Lamiales,C,G
1191,Osteomeles,bone apple (the nutlets),Rosaceae,Rosales,,G
1192,Ostrya,Greek and Latin name,Betulaceae,Fagales,C,G
1193,Otatea,Mexican name,Poaceae,Poales,,
1194,Othonna,Greek and Latin name,Asteraceae,Asterales,C,G
1195,Ottelia,from a Malabar name,Hydrocharitaceae,Alismatales,,G
1196,Oxalis,Greek and Latin name[4],Oxalidaceae,Oxalidales,C,G
1197,Oxera,acid or acrid (the taste of the sap),Lamiaceae,Lamiales,,
1198,Oxydendrum,sharp tree (the taste of the leaves),Ericaceae,Ericales,C,G
1199,Oxylobium,sharp small pods,Fabaceae,Fabales,,G
1200,Oxypetalum,sharp petals,Apocynaceae,Gentianales,,G
1201,Oxyria,sharp (the taste),Polygonaceae,Caryophyllales,,G
1202,Oxytropis,sharp keels (on the flowers),Fabaceae,Fabales,,G
1203,Pachira,Guyanese name,Malvaceae,Malvales,,G
1204,Pachycereus,thick cactus,Cactaceae,Caryophyllales,,
1205,Pachyphragma,thick walls (the septa),Brassicaceae,Brassicales,C,G
1206,Pachyphytum,thick plant,Crassulaceae,Saxifragales,,G
1207,Pachyrhizus,thick roots,Fabaceae,Fabales,,G
1208,Pachysandra,thick male parts (the stamens),Buxaceae,Buxales,C,G
1209,Pachystachys,thick spikes,Acanthaceae,Lamiales,C,G
1210,Paederia,Latin: stinky,Rubiaceae,Gentianales,,G
1211,Paeonia,Greek and Latin name[4],Paeoniaceae,Saxifragales,C,G
1212,Palaquium,Philippine name,Sapotaceae,Ericales,,G
1213,Paliurus,Greek and Latin name,Rhamnaceae,Rosales,,G
1214,Panax,Latin name,Araliaceae,Apiales,,G
1215,Pancratium,Greek and Latin name,Amaryllidaceae,Asparagales,,G
1216,Pandanus,Malay name[4],Pandanaceae,Pandanales,,G
1217,Pandorea,Pandora,Bignoniaceae,Lamiales,C,G
1218,Panicum,Latin name,Poaceae,Poales,C,G
1219,Papaver,Latin name[4],Papaveraceae,Ranunculales,C,G
1220,Paphinia,Aphrodite,Orchidaceae,Asparagales,,G
1221,Paphiopedilum,Aphrodite's slipper (the flower lips),Orchidaceae,Asparagales,,G
1222,Paraquilegia,similar to Aquilegia. Previously Paraquilega.,Ranunculaceae,Ranunculales,,G
1223,Parietaria,Latin: of walls (one habitat),Urticaceae,Rosales,,G
1224,Paris,Latin: equal (the leaves),Melanthiaceae,Liliales,C,G
1225,Parnassia,"Mount Parnassus, Greece",Celastraceae,Celastrales,,G
1226,Parochetus,near rivulets (the habitat),Fabaceae,Fabales,,G
1227,Paronychia,paronychia (a disease that these herbs were said to remedy),Caryophyllaceae,Caryophyllales,,G
1228,Parthenium,Greek and Latin name,Asteraceae,Asterales,C,G
1229,Parthenocissus,"virgin ivy, derived from the common name",Vitaceae,Vitales,C,G
1230,Paspalum,Greek name,Poaceae,Poales,,G
1231,Passiflora,Latin: passion flowers[4],Passifloraceae,Malpighiales,C,G
1232,Pastinaca,Latin name,Apiaceae,Apiales,C,G
1233,Pavetta,Sinhalese name,Rubiaceae,Gentianales,,G
1234,Pedicularis,Latin: louse (from folklore about the plant),Orobanchaceae,Lamiales,,G
1235,Pediocactus,plains cactus,Cactaceae,Caryophyllales,,
1236,Pelargonium,stork (the beak-shaped fruit),Geraniaceae,Geraniales,C,G
1237,Pelecyphora,hatchet-like (the tubercles),Cactaceae,Caryophyllales,,
1238,Peltandra,shield-stamens,Araceae,Alismatales,,G
1239,Peltaria,shield-like (the leaves),Brassicaceae,Brassicales,,G
1240,Peltophorum,shield-bearing (the stigma),Fabaceae,Fabales,,G
1241,Peniocereus,filament cactus,Cactaceae,Caryophyllales,,
1242,Pennisetum,feather-bristle (the flower spikes),Poaceae,Poales,C,G
1243,Penstemon,five stamens,Plantaginaceae,Lamiales,C,G
1244,Pentaglottis,five tongues (on the corolla),Boraginaceae,Boraginales,,G
1245,Pentas,fives (the flower parts),Rubiaceae,Gentianales,,G
1246,Peperomia,like pepper,Piperaceae,Piperales,C,G
1247,Perilla,possibly Latin: little bag (the calyx),Lamiaceae,Lamiales,,G
1248,Periploca,entwining (the corolla tubes),Apocynaceae,Gentianales,,G
1249,Peristeria,dove-like (the orchid columns),Orchidaceae,Asparagales,,
1250,Peristrophe,twisting around (the corolla tubes),Acanthaceae,Lamiales,,G
1251,Persea,Greek name,Lauraceae,Laurales,C,G
1252,Persicaria,leaves like Persica (peach),Polygonaceae,Caryophyllales,C,G
1253,Petasites,sun-hats (the leaves). Greek name.,Asteraceae,Asterales,C,G
1254,Petrocallis,rock beauty (the habitat),Brassicaceae,Brassicales,,G
1255,Petromarula,Cretan name[d],Campanulaceae,Asterales,,
1256,Petrophile,rock lover. Previously Petrophila.,Proteaceae,Proteales,,G
1257,Petrophytum,rock plant. Previously Petrophyton.,Rosaceae,Rosales,,G
1258,Petrorhagia,rock-breaking,Caryophyllaceae,Caryophyllales,,G
1259,Petroselinum,Greek and Latin name,Apiaceae,Apiales,C,G
1260,Petunia,Tupi–Guarani name,Solanaceae,Solanales,C,G
1261,Peucedanum,Greek and Latin name,Apiaceae,Apiales,C,G
1262,Peumus,Chilean name,Monimiaceae,Laurales,,G
1263,Phacelia,bundles (the flowers),Hydrophyllaceae,Boraginales,C,G
1264,Phaedranassa,bright queen (the flowers),Amaryllidaceae,Asparagales,,G
1265,Phaius,twilight (the dark flowers),Orchidaceae,Asparagales,,G
1266,Phalaenopsis,moth-like,Orchidaceae,Asparagales,,G
1267,Phalaris,Greek and Latin name,Poaceae,Poales,C,G
1268,Phaseolus,"Latin name, from a Greek name",Fabaceae,Fabales,C,G
1269,Phebalium,possibly a Greek name,Rutaceae,Sapindales,,G
1270,Phellodendron,cork tree,Rutaceae,Sapindales,C,G
1271,Philesia,love (probably for the flowers)[4],Philesiaceae,Liliales,,G
1272,Phillyrea,Greek name,Oleaceae,Lamiales,C,G
1273,Philodendron,tree-loving (they are epiphytes),Araceae,Alismatales,C,G
1274,Phleum,Greek name,Poaceae,Poales,,G
1275,Phlomis,flame (a use of the leaves),Lamiaceae,Lamiales,C,G
1276,Phlox,flame (the flowers),Polemoniaceae,Ericales,C,G
1277,Phoenix,Greek name,Arecaceae,Arecales,C,G
1278,Pholidota,scaly,Orchidaceae,Asparagales,,G
1279,Phormium,basket or mat (uses of the leaf fibres),Asphodelaceae,Asparagales,C,G
1280,Photinia,shining (the foliage),Rosaceae,Rosales,C,G
1281,Phragmipedium,partition slipper (the slipper-shaped lips),Orchidaceae,Asparagales,,
1282,Phragmites,fence or hedge reeds,Poaceae,Poales,C,G
1283,Phuopsis,like Valeriana phu,Rubiaceae,Gentianales,C,G
1284,Phygelius,sun-fleeing (they prefer shade),Scrophulariaceae,Lamiales,C,G
1285,Phyla,tribes (probably the flower clusters),Verbenaceae,Lamiales,,G
1286,Phylica,leafy,Rhamnaceae,Rosales,,G
1287,Phyllagathis,leafy ball of thread (the bracts),Melastomataceae,Myrtales,,
1288,Phyllanthus,leaf-flowers (the source of some flowers)[4],Phyllanthaceae,Malpighiales,,G
1289,Phyllocladus,leaf-branch (the flattened branches),Phyllocladaceae,Pinales,,G
1290,Phyllodoce,a Nereid,Ericaceae,Ericales,,G
1291,Phyllostachys,leaf spike (the inflorescences),Poaceae,Poales,C,G
1292,Physalis,bladders (the appearance of the fruit),Solanaceae,Solanales,C,G
1293,Physocarpus,bladder fruit,Ranunculaceae,Ranunculales,C,G
1294,Physochlaina,bladder covering (the inflated calyx),Solanaceae,Solanales,C,G
1295,Physoplexis,bladder weaving (the corolla),Campanulaceae,Asterales,,G
1296,Physostegia,bladder roofing (the inflated calyx),Lamiaceae,Lamiales,,G
1297,Phytelephas,elephant plant (for the ivory-like nut),Arecaceae,Arecales,,G
1298,Phyteuma,Greek and Latin name,Campanulaceae,Asterales,,G
1299,Phytolacca,plant lac[4],Phytolaccaceae,Caryophyllales,C,G
1300,Picea,Latin name,Pinaceae,Pinales,C,G
1301,Pieris,"Pieria, the home of the Muses",Ericaceae,Ericales,C,G
1302,Pilea,Latin: caps (the shape of the calyx),Urticaceae,Rosales,C,G
1303,Pimelea,"fat, lard (its oils)",Thymelaeaceae,Malvales,,G
1304,Pimenta,Spanish name,Myrtaceae,Myrtales,,G
1305,Pimpinella,from a Medieval Latin name,Apiaceae,Apiales,,G
1306,Pinanga,Malayan name,Arecaceae,Arecales,,
1307,Pinguicula,fatty (the leaves),Lentibulariaceae,Lamiales,,G
1308,Pinus,Latin name[4],Pinaceae,Pinales,C,G
1309,Piper,"Latin name, from Sanskrit and Greek names[4]",Piperaceae,Piperales,,G
1310,Piptadenia,falling glands (of the stamens),Fabaceae,Fabales,,G
1311,Piptanthus,falling flowers (all parts fall at the same time),Fabaceae,Fabales,C,G
1312,Piscidia,Latin: fish-killing (a use of the plant),Fabaceae,Fabales,,G
1313,Pistacia,Greek and Latin name,Anacardiaceae,Sapindales,C,G
1314,Pistia,water,Araceae,Alismatales,C,G
1315,Pisum,Greek and Latin name,Fabaceae,Fabales,C,G
1316,Pithecellobium,"Greek rendering of a Brazilian name meaning ""monkey's earring"" (the fruit)",Fabaceae,Fabales,,G
1317,Pittosporum,tar seeds[4],Pittosporaceae,Apiales,C,G
1318,Plagianthus,asymmetrical flowers,Poaceae,Poales,,G
1319,Plagiobothrys,oblique scars (on the nutlets),Boraginaceae,Boraginales,,
1320,Plantago,Latin name,Plantaginaceae,Lamiales,C,G
1321,Platanus,Greek and Latin name[4],Platanaceae,Proteales,C,G
1322,Platycarya,broad nuts,Juglandaceae,Fagales,,G
1323,Platycodon,broad bell (the flowers),Campanulaceae,Asterales,C,G
1324,Platystemon,broad stamens,Papaveraceae,Ranunculales,,
1325,Plectranthus,spur-flowers,Lamiaceae,Lamiales,C,G
1326,Pleioblastus,many buds,Poaceae,Poales,C,G
1327,Pleione,Pleione,Orchidaceae,Asparagales,C,G
1328,Pleiospilos,many spots (on the leaves),Aizoaceae,Caryophyllales,,G
1329,Pleurothallis,side or rib branches (perhaps the inflorescences or stems),Orchidaceae,Asparagales,,
1330,Plumbago,Latin name[4],Plumbaginaceae,Caryophyllales,C,G
1331,Poa,Greek name[4],Poaceae,Poales,C,G
1332,Podachaenium,stalked achenes,Asteraceae,Asterales,,
1333,Podalyria,Podalirius,Fabaceae,Fabales,,G
1334,Podocarpus,stalked fruit[4],Podocarpaceae,Pinales,C,G
1335,Podolepis,scaly feet (the pedicels),Asteraceae,Asterales,,G
1336,Podophyllum,foot-leaves (for the resemblance to duck's feet),Berberidaceae,Ranunculales,C,G
1337,Podranea,anagram of the related Pandorea,Bignoniaceae,Lamiales,,G
1338,Pogonatherum,bearded awn (the glumes),Poaceae,Poales,,G
1339,Pogonia,bearded (the fringed lips),Orchidaceae,Asparagales,,
1340,Pogostemon,bearded stamens,Lamiaceae,Lamiales,,
1341,Polemonium,Greek and Latin name[4],Polemoniaceae,Ericales,C,G
1342,Poliothyrsis,grey panicles,Salicaceae,Malpighiales,,G
1343,Polygala,Greek and Latin name[4],Polygalaceae,Fabales,C,G
1344,Polygonatum,Greek and Latin name,Asparagaceae,Asparagales,C,G
1345,Polygonum,Greek and Latin name[4],Polygonaceae,Caryophyllales,,G
1346,Polyscias,many sun-shades (the umbels),Araliaceae,Apiales,,G
1347,Polystachya,many spikes (on the inflorescences),Orchidaceae,Asparagales,,G
1348,Pomaderris,lid of skin (on the capsules),Rhamnaceae,Rosales,,G
1349,Populus,Latin name,Salicaceae,Malpighiales,C,G
1350,Porana,possibly from a Marathi name,Convolvulaceae,Solanales,,G
1351,Portulaca,Latin name[4],Portulacaceae,Caryophyllales,,G
1352,Portulacaria,Portulaca-like,Didiereaceae,Caryophyllales,,
1353,Posoqueria,Guianan name,Rubiaceae,Gentianales,,
1354,Potamogeton,Greek and Latin name[4],Potamo­getonaceae,Alismatales,,G
1355,Potentilla,Latin: potent (medicinally),Rosaceae,Rosales,C,G
1356,Pothos,Sinhalese name,Araceae,Alismatales,,G
1357,Pouteria,Carib name,Sapotaceae,Ericales,,
1358,Premna,stump (part of the habit),Lamiaceae,Lamiales,,G
1359,Prenanthes,flowers facing down,Asteraceae,Asterales,,G
1360,Primula,Medieval Latin name[4],Primulaceae,Ericales,C,G
1361,Proboscidea,elephant trunks (the fruit),Martyniaceae,Lamiales,,G
1362,Promenaea,"Promenaea, a Greek priestess of Dodona",Orchidaceae,Asparagales,,
1363,Proserpinaca,Latin name,Haloragaceae,Saxifragales,,G
1364,Prosopis,Greek name,Fabaceae,Fabales,,G
1365,Prostanthera,anther addition (the spurs),Lamiaceae,Lamiales,C,G
1366,Protea,Proteus[4],Proteaceae,Proteales,,G
1367,Prunella,from a German name,Lamiaceae,Lamiales,C,G
1368,Prunus,Latin name,Rosaceae,Rosales,C,G
1369,Psammophora,sandy,Aizoaceae,Caryophyllales,,
1370,Pseuder­anthemum,false Eranthemum,Acanthaceae,Lamiales,,G
1371,Pseudofumaria,false Fumaria,Papaveraceae,Ranunculales,C,
1372,Pseudolarix,false Larix,Pinaceae,Pinales,C,G
1373,Pseudopanax,false Panax,Araliaceae,Apiales,C,G
1374,Pseudophoenix,false Phoenix,Arecaceae,Arecales,,G
1375,Pseudosasa,false Sasa,Poaceae,Poales,C,G
1376,Pseudotsuga,false Tsuga,Pinaceae,Pinales,C,G
1377,Pseudowintera,false Wintera (Drimys),Winteraceae,Canellales,C,G
1378,Psidium,"Latin name, from a Greek name",Myrtaceae,Myrtales,,G
1379,Psilotum,bare (the branches)[4],Psilotaceae,Psilotales,,G
1380,Psophocarpus,noisy fruit (the exploding capsules),Fabaceae,Fabales,,
1381,Psoralea,scabby,Fabaceae,Fabales,,G
1382,Psychotria,from a Greek name,Rubiaceae,Gentianales,,G
1383,Ptelea,Greek name,Rutaceae,Sapindales,C,G
1384,Pteridophyllum,fern leaves,Papaveraceae,Ranunculales,,G
1385,Pterocarya,winged nuts,Juglandaceae,Fagales,C,G
1386,Pterocephalus,winged head (the feathery fruiting heads),Caprifoliaceae,Dipsacales,,G
1387,Pterospermum,winged seeds,Malvaceae,Malvales,,
1388,Pterostyrax,winged Styrax,Styracaceae,Ericales,C,G
1389,Ptychosperma,folded seeds,Arecaceae,Arecales,,G
1390,Pulicaria,Latin name,Asteraceae,Asterales,,G
1391,Pulmonaria,"Latin: lungs, from the supposed resemblance to diseased lungs",Boraginaceae,Boraginales,C,G
1392,Pulsatilla,uncertain,Ranunculaceae,Ranunculales,,G
1393,Punica,Latin name,Lythraceae,Myrtales,C,G
1394,Puya,Chilean name of Puya chilensis,Bromeliaceae,Poales,C,G
1395,Pycnanthemum,dense flowers,Lamiaceae,Lamiales,,G
1396,Pycnostachys,dense spikes,Lamiaceae,Lamiales,,G
1397,Pyracantha,fire thorns,Rosaceae,Rosales,C,G
1398,Pyrola,diminutive of Pyrus,Ericaceae,Ericales,,G
1399,Pyrostegia,"fire roofs, from the upper lip",Bignoniaceae,Lamiales,,G
1400,Pyrus,Latin name,Rosaceae,Rosales,C,G
1401,Pyxidanthera,boxed anther (the lidded anthers),Diapensiaceae,Ericales,,G
1402,Quercus,Latin name[c],Fagaceae,Fagales,C,G
1403,Quillaja,Chilean name[4],Quillajaceae,Fabales,,G
1404,Ranunculus,Latin: little frog (some species are aquatic)[4],Ranunculaceae,Ranunculales,C,G
1405,Raphanus,Greek and Latin name,Brassicaceae,Brassicales,C,G
1406,Raphia,needle (the fruit),Arecaceae,Arecales,,G
1407,Ravenala,Malagasy name,Strelitziaceae,Zingiberales,,G
1408,Renanthera,kidney anther (the kidney-shaped pollen-masses),Orchidaceae,Asparagales,,
1409,Reseda,Latin name[4],Resedaceae,Brassicales,,G
1410,Retama,Arabic name,Fabaceae,Fabales,,G
1411,Rhabdothamnus,rod (twiggy) bush,Gesneriaceae,Lamiales,,G
1412,Rhamnus,Greek and Latin name[4],Rhamnaceae,Rosales,C,G
1413,Rhaphidophora,needle-bearing (the fruit),Araceae,Alismatales,,G
1414,Rhaphiolepis,needle scale (the bracteoles). Previously Raphiolepis.,Rosaceae,Rosales,C,G
1415,Rhaphithamnus,needle bush (the spines),Verbenaceae,Lamiales,,G
1416,Rhapidophyllum,needle leaf (the spines at the base),Arecaceae,Arecales,,
1417,Rhapis,needle (the leaf segments),Arecaceae,Arecales,C,G
1418,Rheum,Greek name,Polygonaceae,Caryophyllales,C,G
1419,Rhexia,Latin name,Melastomataceae,Myrtales,,G
1420,Rhipsalis,wicker,Cactaceae,Caryophyllales,,G
1421,Rhodiola,little rose,Crassulaceae,Saxifragales,C,G
1422,Rhodochiton,red cloak (the red calyx),Plantaginaceae,Lamiales,C,G
1423,Rhododendron,rose tree. Greek and Latin name.,Ericaceae,Ericales,C,G
1424,Rhodohypoxis,red Hypoxis,Hypoxidaceae,Asparagales,C,G
1425,Rhodomyrtus,red myrtle,Myrtaceae,Myrtales,,
1426,Rhodospatha,red spathe,Araceae,Alismatales,,
1427,Rhodothamnus,red shrub (the flowers),Ericaceae,Ericales,,G
1428,Rhodotypos,rose type (the flowers),Rosaceae,Rosales,C,G
1429,Rhoicissus,"sumac ivy, probably",Vitaceae,Vitales,,G
1430,Rhombophyllum,rhombus or lozenge leaves[8],Aizoaceae,Caryophyllales,,G
1431,Rhopalostylis,club pillar (the spadix),Arecaceae,Arecales,,G
1432,Rhus,Greek and Latin name,Anacardiaceae,Sapindales,C,G
1433,Rhynchelytrum,beak husk (on the flowers),Poaceae,Poales,,G
1434,Rhynchosia,beak (the lower petals),Fabaceae,Fabales,,G
1435,Rhynchostylis,beak pillar (the column of the flowers),Orchidaceae,Asparagales,,
1436,Ribes,Arabic: acidic (the fruit). Arabic name.,Grossulariaceae,Saxifragales,C,G
1437,Ricinus,Latin: tick (the seeds),Euphorbiaceae,Malpighiales,C,G
1438,Ripogonum,wicker knees (the many joints on the tangled stalks). Previously Rhipogonum.[4],Ripogonaceae,Liliales,,G
1439,Romulea,Romulus,Iridaceae,Asparagales,,G
1440,Rorippa,German name,Brassicaceae,Brassicales,,G
1441,Rosa,Latin name[4],Rosaceae,Rosales,C,G
1442,Rotala,wheel-like (the whorls of leaves),Lythraceae,Myrtales,,
1443,Roupala,Guyanese name,Proteaceae,Proteales,,
1444,Rubia,"Latin: red (the roots, used in dyeing)[4]",Rubiaceae,Gentianales,,G
1445,Rubus,Latin name,Rosaceae,Rosales,C,G
1446,Rumex,Latin name,Polygonaceae,Caryophyllales,C,G
1447,Ruscus,Latin name,Asparagaceae,Asparagales,C,G
1448,Ruta,Latin name[4],Rutaceae,Sapindales,C,G
1449,Sabal,a South American name,Arecaceae,Arecales,,G
1450,Saccharum,sugar,Poaceae,Poales,C,G
1451,Saccolabium,baggy lip,Orchidaceae,Asparagales,,
1452,Sagina,Latin: fodder,Caryophyllaceae,Caryophyllales,C,G
1453,Sagittaria,arrow (the leaves),Alismataceae,Alismatales,C,G
1454,Salicornia,Latin: salt (-marsh) horn (the branches),Amaranthaceae,Caryophyllales,,G
1455,Salix,Latin name[4],Salicaceae,Malpighiales,C,G
1456,Salpichroa,colourful trumpet (the flowers),Solanaceae,Solanales,,G
1457,Salpiglossis,trumpet tongue (the style),Solanaceae,Solanales,,G
1458,Salsola,Latin: salt (the habitat),Amaranthaceae,Caryophyllales,,G
1459,Salvia,Latin name,Lamiaceae,Lamiales,C,G
1460,Samanea,a South American name,Fabaceae,Fabales,,G
1461,Sambucus,Latin name,Adoxaceae,Dipsacales,C,G
1462,Samolus,Latin name,Primulaceae,Ericales,,G
