,Genus,Meaning or derivation,Family,Order,C,G
784,Genipa,Guyanese name,Rubiaceae,Gentianales,,G
785,Genista,Latin name,Fabaceae,Fabales,C,G
786,Geogenanthus,ground-birth (low-growing) flowers,Commelinaceae,Commelinales,,G
787,Geonoma,colonist,Arecaceae,Arecales,,G
788,Geranium,crane (the fruit). Greek and Latin name.[4],Geraniaceae,Geraniales,C,G
789,Geum,Latin name,Rosaceae,Rosales,C,G
790,Gevuina,Chilean name,Proteaceae,Proteales,,G
791,Ginkgo,Chinese and Japanese name[4],Ginkgoaceae,Ginkgoales,C,G
792,Gladiolus,little sword (the leaves),Iridaceae,Asparagales,C,G
793,Glaucidium,like Glaucium,Ranunculaceae,Ranunculales,C,G
794,Glaucium,greyish-blue-green (the leaves),Papaveraceae,Ranunculales,C,G
795,Glechoma,Greek name,Lamiaceae,Lamiales,,G
796,Gliricidia,Latin: dormouse-killing (derived from a Colombian name),Fabaceae,Fabales,,G
797,Globba,Indonesian name,Zingiberaceae,Zingiberales,,G
798,Globularia,little globe (the flower heads),Plantaginaceae,Lamiales,C,G
799,Gloriosa,Latin: glorious,Colchicaceae,Liliales,C,G
800,Glottiphyllum,tongue leaves,Aizoaceae,Caryophyllales,,G
801,Glyceria,sweet (the seeds),Poaceae,Poales,C,G
802,Glycine,sweet,Fabaceae,Fabales,C,G
803,Glycosmis,sweet scent,Rutaceae,Sapindales,,G
804,Glycyrrhiza,sweet roots,Fabaceae,Fabales,C,G
805,Glyptostrobus,carved (pitted) cones,Cupressaceae,Pinales,,G
806,Gnaphalium,Greek and Latin name,Asteraceae,Asterales,,G
807,Gnidia,Knidos,Thymelaeaceae,Malvales,,G
808,Gompholobium,peg-like pods,Fabaceae,Fabales,,G
809,Gomphrena,from a Latin name,Amaranthaceae,Caryophyllales,C,G
810,Gossypium,"Latin name, originally from Arabic",Malvaceae,Malvales,,G
811,Grammato­phyllum,marked leaves,Orchidaceae,Asparagales,,G
812,Graptopetalum,painted petals,Crassulaceae,Saxifragales,,G
813,Graptophyllum,painted leaves,Acanthaceae,Lamiales,,G
814,Gratiola,satisfying,Plantaginaceae,Lamiales,,G
815,Gymnadenia,naked glands (the stamens),Orchidaceae,Asparagales,,G
816,Gymnocalycium,naked (flower) buds,Cactaceae,Caryophyllales,,G
817,Gymnocladus,naked branches,Fabaceae,Fabales,C,G
818,Gynerium,female wool (the woolly spikelets on the female plants),Poaceae,Poales,,G
819,Gynura,female tail (the long stigmas),Asteraceae,Asterales,C,G
820,Gypsophila,gypsum-loving,Caryophyllaceae,Caryophyllales,C,G
821,Habenaria,rein (the spurs and lips),Orchidaceae,Asparagales,,G
822,Habranthus,graceful flowers,Amaryllidaceae,Asparagales,,G
